test	taille	exe	exectime	memory	mmm
212	7427	rap	0.11 1796		1	
213	28079	fus	0.00 1752	1		
213	28079	ins	0.00 1400	1		
213	28079	rap	1.61 3228		1	
214	15590	fus	0.00 1596	1		
214	15590	ins	0.00 1296	1		
214	15590	rap	0.50 2348		1	
215	21536	ins	0.00 1352	1		
215	21536	fus	0.00 1524	1		
215	21536	rap	0.96 2696		1	
216	20201	fus	0.00 1500	1		
216	20201	ins	0.00 1288	1		
216	20201	rap	0.84 2684		1	
217	24401	ins	0.00 1376	1		
217	24401	fus	0.00 1564	1		
217	24401	rap	1.22 2840		1	
218	28987	ins	0.00 1356	1		
218	28987	fus	0.00 1724	1		
218	28987	rap	1.71 3312		1	
219	32187	fus	0.00 1756			1
219	32187	ins	0.00 1448			1
219	32187	rap	2.13 3388		1	
220	10724	ins	0.00 1260			1
220	10724	fus	0.00 1448			1
220	10724	rap	0.24 2016		1	
221	30166	fus	0.00 1724	1		
221	30166	ins	0.00 1508			1
221	30166	rap	1.86 3348		1	
222	569	ins	0.00 1180		1	
222	569	fus	0.00 1192		1	
222	569	rap	0.00 1220		1	
223	8611	ins	0.00 1196	1		
223	8611	fus	0.00 1416	1		
223	8611	rap	0.15 1860		1	
224	31984	ins	0.00 1548			1
224	31984	fus	0.00 1740	1		
224	31984	rap	2.10 3520		1	
225	11331	ins	0.00 1376	1		
225	11331	fus	0.00 1488	1		
225	11331	rap	0.28 1972		1	
226	11231	fus	0.00 1456	1		
226	11231	ins	0.00 1284			1
226	11231	rap	0.26 2040		1	
227	31826	fus	0.00 1808	1		
227	31826	ins	0.00 1500	1		
227	31826	rap	2.07 3512		1	
228	11362	fus	0.00 1408	1		
228	11362	ins	0.00 1352	1		
228	11362	rap	0.26 1976		1	
229	2739	ins	0.00 1196	1		
229	2739	fus	0.00 1336	1		
229	2739	rap	0.02 1452		1	
230	13106	ins	0.00 1336	1		
230	13106	fus	0.00 1444	1		
230	13106	rap	0.36 2044		1	
231	19525	fus	0.00 1552			1
231	19525	ins	0.00 1392			1
231	19525	rap	0.78 2660		1	
232	27218	ins	0.00 1344			1
232	27218	fus	0.00 1704	1		
232	27218	rap	1.52 3148		1	
233	25177	ins	0.00 1400			1
233	25177	fus	0.00 1668	1		
233	25177	rap	1.30 2968		1	
234	361	rap	0.00 1312	1		
234	361	ins	0.00 1188	1		
234	361	fus	0.00 1284	1		
235	22654	ins	0.00 1380	1		
235	22654	fus	0.00 1592	1		
235	22654	rap	1.05 2876		1	
236	28215	fus	0.00 1736			1
236	28215	ins	0.00 1476			1
236	28215	rap	1.62 3168		1	
237	11195	fus	0.00 1496	1		
237	11195	ins	0.00 1324	1		
237	11195	rap	0.26 1968		1	
238	8384	ins	0.00 1300			1
238	8384	fus	0.00 1448			1
238	8384	rap	0.16 1864		1	
239	15808	fus	0.00 1524	1		
239	15808	ins	0.00 1412			1
239	15808	rap	0.51 2392		1	
240	22128	ins	0.00 1448			1
240	22128	fus	0.00 1644	1		
240	22128	rap	1.00 2852		1	
241	31324	ins	0.00 1424			1
241	31324	fus	0.00 1724	1		
241	31324	rap	2.02 3400		1	
242	30025	ins	0.00 1436			1
242	30025	fus	0.00 1784	1		
242	30025	rap	1.85 3236		1	
243	26754	ins	0.00 1412			1
243	26754	fus	0.00 1732	1		
243	26754	rap	1.48 3176		1	
244	23180	ins	0.00 1360			1
244	23180	fus	0.00 1548	1		
244	23180	rap	1.09 2924		1	
245	15867	fus	0.00 1560	1		
245	15867	ins	0.00 1300			1
245	15867	rap	0.52 2292		1	
246	28019	ins	0.00 1492			1
246	28019	fus	0.00 1796	1		
246	28019	rap	1.61 3204		1	
247	16459	fus	0.00 1508	1		
247	16459	ins	0.00 1384	1		
247	16459	rap	0.56 2388		1	
248	15374	fus	0.00 1532	1		
248	15374	ins	0.00 1248	1		
248	15374	rap	0.49 2348		1	
249	28216	ins	0.00 1480			1
249	28216	fus	0.00 1704	1		
249	28216	rap	1.63 3176		1	
250	20126	fus	0.00 1604	1		
250	20126	ins	0.00 1416	1		
250	20126	rap	0.82 2684		1	
251	14874	ins	0.00 1372	1		
251	14874	fus	0.00 1464	1		
251	14874	rap	0.46 2168		1	
252	23088	ins	0.00 1448			1
252	23088	fus	0.00 1600	1		
252	23088	rap	1.09 2860		1	
253	17763	ins	0.00 1404			1
253	17763	fus	0.00 1532			1
253	17763	rap	0.65 2420		1	
254	5678	fus	0.00 1324	1		
254	5678	ins	0.00 1280	1		
254	5678	rap	0.07 1676		1	
255	27094	ins	0.00 1492			1
255	27094	fus	0.00 1656	1		
255	27094	rap	1.52 3100		1	
256	9383	fus	0.00 1504	1		
256	9383	ins	0.00 1252	1		
256	9383	rap	0.18 1784		1	
257	6807	fus	0.00 1360	1		
257	6807	ins	0.00 1316	1		
257	6807	rap	0.09 1756		1	
258	637	fus	0.00 1300		1	
258	637	ins	0.00 1200		1	
258	637	rap	0.00 1296		1	
259	11116	ins	0.00 1264			1
259	11116	fus	0.00 1428			1
259	11116	rap	0.25 1976		1	
260	3691	fus	0.00 1348			1
260	3691	ins	0.00 1280			1
260	3691	rap	0.02 1436		1	
261	23022	ins	0.00 1464			1
