test	taille	exe	exectime	memory	mmm
229	55000	rap	0.01 1616		1	
229	55000	ins	2.19 1700			1
230	29000	rap	0.00 1472		1	
230	29000	fus	0.00 1768		1	
230	29000	ins	0.61 1480			1
231	38000	rap	0.00 1552	1		
231	38000	fus	0.01 1776	1		
231	38000	ins	1.05 1552			1
232	15000	rap	0.00 1368	1		
232	15000	fus	0.00 1488	1		
232	15000	ins	0.16 1292			1
233	22000	rap	0.00 1436		1	
233	22000	fus	0.00 1608	1		
233	22000	ins	0.35 1372			1
234	0	rap	0.00 1252	1		
234	0	fus	0.00 1124	1		
234	0	ins	0.00 1260	1		
235	53000	rap	0.00 1612		1	
235	53000	fus	0.01 2176	1		
235	53000	ins	2.00 1628			1
236	33000	fus	0.00 1804		1	
236	33000	rap	0.00 1508		1	
236	33000	ins	0.78 1492			1
237	41000	rap	0.00 1544		1	
237	41000	fus	0.00 1884		1	
237	41000	ins	1.21 1576			1
238	45000	rap	0.00 1544		1	
238	45000	fus	0.00 2056	1		
238	45000	ins	1.44 1584			1
239	42000	fus	0.00 1892	1		
239	42000	rap	0.00 1512		1	
239	42000	ins	1.26 1564			1
240	19000	rap	0.00 1332		1	
240	19000	fus	0.00 1616		1	
240	19000	ins	0.26 1332			1
241	59000	rap	0.01 1712		1	
241	59000	fus	0.01 2216	1		
241	59000	ins	2.50 1712			1
242	14000	rap	0.00 1400	1		
242	14000	fus	0.00 1492	1		
242	14000	ins	0.14 1280			1
243	58000	rap	0.01 1680		1	
243	58000	fus	0.01 2192		1	
243	58000	ins	2.40 1732			1
244	42000	rap	0.00 1588		1	
244	42000	fus	0.01 1968	1		
244	42000	ins	1.26 1556			1
245	39000	rap	0.00 1484	1		
245	39000	fus	0.01 1904	1		
245	39000	ins	1.09 1488			1
246	58000	rap	0.01 1708		1	
246	58000	fus	0.01 2188	1		
246	58000	ins	2.40 1636			1
247	26000	rap	0.00 1492		1	
247	26000	fus	0.00 1688		1	
247	26000	ins	0.49 1468			1
248	55000	rap	0.00 1708		1	
248	55000	fus	0.01 2100	1		
248	55000	ins	2.16 1608			1
249	3000	rap	0.00 1220	1		
249	3000	fus	0.00 1356	1		
249	3000	ins	0.00 1220			1
250	34000	rap	0.00 1392		1	
250	34000	fus	0.00 1888	1		
250	34000	ins	0.82 1524			1
251	53000	fus	0.01 2184	1		
251	53000	rap	0.01 1592		1	
251	53000	ins	2.01 1616			1
252	36000	fus	0.00 1744	1		
252	36000	rap	0.00 1564		1	
252	36000	ins	0.92 1576			1
253	9000	fus	0.00 1448	1		
253	9000	rap	0.00 1344		1	
253	9000	ins	0.06 1324			1
254	48000	fus	0.01 2004	1		
254	48000	rap	0.01 1632		1	
254	48000	ins	1.64 1668			1
255	7000	rap	0.00 1276		1	
255	7000	fus	0.00 1424	1		
255	7000	ins	0.04 1336			1
256	43000	rap	0.00 1556	1		
256	43000	fus	0.01 1948	1		
256	43000	ins	1.32 1620			1
257	37000	rap	0.00 1416		1	
257	37000	fus	0.00 1860		1	
257	37000	ins	0.98 1548			1
258	52000	fus	0.00 2056		1	
258	52000	rap	0.01 1700		1	
258	52000	ins	1.92 1632			1
259	1000	fus	0.00 1332			1
259	1000	ins	0.00 1204			1
259	1000	rap	0.00 1292			1
260	4000	rap	0.00 1284	1		
260	4000	fus	0.00 1384	1		
260	4000	ins	0.01 1292			1
261	34000	rap	0.00 1552		1	
261	34000	fus	0.00 1808	1		
261	34000	ins	0.83 1528			1
262	41000	rap	0.00 1616		1	
262	41000	fus	0.01 1884	1		
262	41000	ins	1.21 1604			1
263	24000	fus	0.00 1664		1	
